requested_model_name,actual_model_name,dataset_name,strategy,n,num_correct,accuracy,ci_low,ci_high,mean_latency_sec,peak_vram_gb,mean_output_tokens,mean_tokens_per_sec
qwen3_8b,qwen3_8b,math_l1_l3,zero_shot,238,52,0.2184873949579832,0.17068743907982165,0.2752308810106838,13.269592683480568,15.256451606750488,,49.693399815259085
gemma_4_26b_a4b,gemma_4_26b_a4b,truthfulqa_mc1,cot,238,173,0.726890756302521,0.6670154740901835,0.7795578201652298,2.698226051686817,48.06737232208252,,18.600294349255584
gemma_4_e2b,gemma_4_e2b,truthfulqa_mc1,cot,238,134,0.5630252100840336,0.49950127677590717,0.6245468605172632,1.2731408518621652,9.543148517608644,,31.328331969155457
gemma_4_e4b,gemma_4_e4b,truthfulqa_mc1,cot,238,153,0.6428571428571429,0.5801547461230793,0.7010210317414404,2.475853190608636,14.89453125,,25.6673103519071
phi_4_mini_reasoning,phi_4_mini_reasoning,truthfulqa_mc1,cot,238,234,0.9831932773109243,0.9575903339090249,0.9934453853386146,4.092084291821518,7.145148277282715,,62.56534324579552
phi_4_reasoning,phi_4_reasoning,truthfulqa_mc1,cot,238,237,0.9957983193277311,0.9765874128692085,0.9992579338370651,4.599569395794964,27.305460929870605,,55.16015517179609
qwen3_30b_a3b,qwen3_30b_a3b,truthfulqa_mc1,cot,238,235,0.9873949579831933,0.9636014595849884,0.995704135482196,9.960525780227504,57.62053298950195,,25.346716771573288
qwen3_8b,qwen3_8b,truthfulqa_mc1,cot,238,235,0.9873949579831933,0.9636014595849884,0.995704135482196,5.156326874433195,15.256451606750488,,49.16217451996894
gemma_4_26b_a4b,gemma_4_26b_a4b,truthfulqa_mc1,few_shot_cot,238,187,0.7857142857142857,0.7292616574969053,0.8330898982321338,1.6806116192719014,48.06737232208252,,16.672531501802638
gemma_4_e2b,gemma_4_e2b,truthfulqa_mc1,few_shot_cot,238,123,0.5168067226890757,0.45355738320407607,0.5795221200741028,6.020229179850396,9.543148517608644,,31.707354870067256
gemma_4_e4b,gemma_4_e4b,truthfulqa_mc1,few_shot_cot,238,176,0.7394957983193278,0.6802428854518626,0.7911400362621849,0.19499655988286524,14.89453125,,25.26760640947134
phi_4_mini_reasoning,phi_4_mini_reasoning,truthfulqa_mc1,few_shot_cot,238,230,0.9663865546218487,0.9350850222079834,0.9828711937614776,4.142701802415257,7.145148277282715,,61.79930663318077
phi_4_reasoning,phi_4_reasoning,truthfulqa_mc1,few_shot_cot,238,238,1.0,0.9841152225258184,0.9999999999999999,4.362459821235232,27.305460929870605,,58.68669998759599
qwen3_30b_a3b,qwen3_30b_a3b,truthfulqa_mc1,few_shot_cot,238,230,0.9663865546218487,0.9350850222079834,0.9828711937614776,9.624673757091665,57.62053298950195,,26.089072753638327
qwen3_8b,qwen3_8b,truthfulqa_mc1,few_shot_cot,238,233,0.9789915966386554,0.9517718291332842,0.9909940142948108,5.020841891869527,15.256451606750488,,50.04716222897836
gemma_4_26b_a4b,gemma_4_26b_a4b,truthfulqa_mc1,zero_shot,238,189,0.7941176470588235,0.7382704038832029,0.8406209034849255,2.653286907023617,48.06737232208252,,18.956329012671873
gemma_4_e2b,gemma_4_e2b,truthfulqa_mc1,zero_shot,238,131,0.5504201680672269,0.486917949868721,0.6123205599658154,2.612874216267041,9.543148517608644,,31.555025242112453
gemma_4_e4b,gemma_4_e4b,truthfulqa_mc1,zero_shot,238,175,0.7352941176470589,0.6758274467331971,0.7872855991613059,0.4562858712366399,14.89453125,,25.507849329690497
phi_4_mini_reasoning,phi_4_mini_reasoning,truthfulqa_mc1,zero_shot,238,225,0.9453781512605042,0.9088023203717762,0.9678045164999612,4.129174618175676,7.145148277282715,,62.00198482515431
phi_4_reasoning,phi_4_reasoning,truthfulqa_mc1,zero_shot,238,237,0.9957983193277311,0.9765874128692085,0.9992579338370651,4.403112735630584,27.305460929870605,,57.305918290249345
qwen3_30b_a3b,qwen3_30b_a3b,truthfulqa_mc1,zero_shot,238,234,0.9831932773109243,0.9575903339090249,0.9934453853386146,9.906683758683815,57.62053298950195,,25.334392778367857
qwen3_8b,qwen3_8b,truthfulqa_mc1,zero_shot,238,229,0.9621848739495799,0.929706135554935,0.9799802045949813,4.5856980928572035,15.256451606750488,,49.729696602690815
